Name,Duration,LastRun,E1,E2,E3,Verdict,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,Cycle,LastRunFeature,DurationFeature
4134,537,2015-02-06,1,1,1,1,1,0,0.03257587795963768,1,5.0,0.03257587795963769
341,817,2013-10-9,1,1,1,1,1,0,0.051114995497642854,2,2.3214285714285716,0.05111499549764288
348,509,2015-2-8,1,1,0,1,2,1,0.03072196620583717,3,0.4943609022556391,0.030721966205837174
1335,300,2015-1-31,0,0,0,0,0,0,0.016861768808376146,4,1.4248120300751879,0.016883839186397586
1515,1218,2015-2-9,1,1,1,1,1,0,0.077621519501386,5,1.3928571428571428,0.07766566025742888
674,1153,2015-2-10,1,1,1,1,1,0,0.07331779578720622,6,1.4078947368421053,0.07336193654324911
4702,2122,2015-2-10,0,0,0,0,0,0,0.13749845507353844,6,1.4097744360902256,0.13752052545155993
795,2093,2015-2-10,0,0,0,0,0,0,0.1355562618076522,6,1.4097744360902256,0.1356004025636951
172,1037,2014-11-14,0,0,0,0,0,0,0.06568144499178981,6,1.575187969924812,0.06568144499178982
7881,752,2014-3-4,1,1,1,1,1,0,0.04678920140544167,7,1.8890977443609023,0.04681127178346311
349,1283,2015-1-21,0,1,1,1,1,1,0.08192524321556577,8,0.8026315789473684,0.08196938397160866
4095,845,2015-2-13,1,0,0,0,3,1,0.05296890725144338,9,1.3665413533834587,0.0529689072514434
4096,1636,2015-2-14,1,0,0,0,3,1,0.10534191429630804,10,1.4078947368421053,0.10534191429630807
4776,958,2015-2-14,1,0,0,0,3,1,0.0604066246446669,10,1.4097744360902256,0.06045076540070978
4777,998,2015-2-14,1,0,0,0,3,1,0.06307714038526051,10,1.4097744360902256,0.06309921076328195
144,724,2015-2-16,0,0,0,0,0,0,0.04491321927361971,11,1.406015037593985,0.04495736002966259
207,5633,2014-11-25,0,0,0,0,0,0,0.3699657467733106,12,1.5657894736842104,0.36998781715133217
8380,13569,2015-2-17,1,0,1,1,1,2,0.8954173067076293,13,1.2518796992481205,0.8954393770856507
1317,562,2014-6-3,1,1,1,1,1,0,0.03420908593322386,14,1.8966165413533833,0.0342311563112453
343,5403,2015-2-20,1,1,1,1,1,0,0.35475925631654215,15,0.9172932330827067,0.3547592563165422
1442,952,2015-2-20,0,0,0,0,0,0,0.06000935784028108,16,1.4097744360902256,0.06005349859632396
1441,1144,2015-2-21,0,0,0,0,0,0,0.07274396595864892,17,1.4078947368421053,0.07276603633667038
1437,1304,2015-2-21,0,0,0,0,0,0,0.08331567703091618,17,1.4097744360902256,0.08335981778695906
1453,2668,2015-2-21,1,0,1,1,1,2,0.17362766389462714,17,1.4097744360902256,0.17367180465067006
1455,1871,2015-2-21,0,0,0,0,0,0,0.12085739004537666,17,1.4097744360902256,0.12090153080141956
1456,1897,2015-2-21,0,1,0,1,2,2,0.12262302028709146,17,1.4097744360902256,0.12262302028709147
1458,2247,2015-2-21,0,0,0,0,0,0,0.1457748468315765,17,1.4097744360902256,0.14579691720959795
1457,1284,2015-2-21,0,0,0,0,0,0,0.08203559510567296,18,1.4097744360902256,0.08203559510567297
1454,2088,2015-2-23,0,1,0,1,2,2,0.13526934689337355,19,1.406015037593985,0.13526934689337358
1511,409,2015-2-2,0,1,1,1,1,1,0.024100852799406748,20,1.449248120300752,0.024100852799406748
9756,17578,2015-2-25,0,0,0,0,0,0,1.1608798135494465,21,1.3665413533834587,1.1608798135494465
2598,718,2015-2-26,0,0,0,0,0,0,0.044560093225276744,22,1.4078947368421053,0.04456009322527676
7897,3211,2015-2-26,1,0,0,0,3,1,0.20958030969154434,22,1.4097744360902256,0.20962445044758726
1507,3546,2015-2-26,1,0,0,0,3,1,0.23178310998110768,22,1.4097744360902256,0.2318051803591292
7932,6484,2015-2-26,0,0,0,0,0,0,0.4263334922400551,22,1.4097744360902256,0.4263334922400551
1513,4302,2014-12-9,0,0,0,0,0,0,0.28181665695570024,23,1.5582706766917291,0.2818607977117432
1512,3733,2014-12-7,0,0,1,1,1,1,0.244186662429154,24,1.4135338345864663,0.2441866624291541
4718,1607,2015-3-1,0,0,0,0,0,0,0.10342179140844324,25,1.2518796992481205,0.10342179140844324
7974,1718,2015-3-2,1,1,1,1,1,0,0.110771227289581,26,1.4078947368421053,0.11077122728958103
345,12989,2015-3-2,1,1,1,1,1,0,0.8570369193283539,26,1.4097744360902256,0.8570369193283544
261,6507,2014-12-2,0,0,0,0,0,0,0.4278342779455125,26,1.5789473684210527,0.42785634832353414
508,1026,2015-3-2,1,1,1,1,1,0,0.06495312251708246,26,1.2406015037593985,0.06495312251708248
2663,13392,2015-3-2,1,0,1,1,1,2,0.8836758656002258,26,1.4097744360902256,0.8837200063562689
7837,3313,2015-3-2,1,1,1,1,1,0,0.2163779861221462,26,1.4097744360902256,0.2163779861221463
4732,407,2015-3-4,1,1,1,1,1,0,0.023946360153256695,27,1.406015037593985,0.02396843053127814
4738,1350,2014-9-18,0,0,0,0,0,0,0.08636138919787416,28,1.723684210526316,0.08640552995391707
4741,6401,2015-2-13,0,0,0,0,0,0,0.4207938273566749,29,1.131578947368421,0.42083796811271784
4737,638,2014-9-20,0,0,1,1,1,1,0.03926320250013242,30,1.6842105263157894,0.039263202500132426
7907,45,2014-10-3,1,1,1,1,1,0,0.0,31,1.3853383458646618,0.0
8758,1851,2015-3-8,1,1,1,1,1,0,0.11957730812013348,32,1.1165413533834587,0.11957730812013348
8757,534,2015-3-10,0,0,0,0,0,0,0.03237724455744477,33,1.406015037593985,0.032377244557444784
